{'HIDDEN_DIM': 512, 'sliced_time': 0.0017832270264625549, 'unsliced_time': 0.002017980420589447, 'ratio': 0.8836691418153992}
{'HIDDEN_DIM': 768, 'sliced_time': 0.0018164799690246582, 'unsliced_time': 0.002026352894306183, 'ratio': 0.8964282451140454}
{'HIDDEN_DIM': 1024, 'sliced_time': 0.0021409510493278503, 'unsliced_time': 0.001726998794078827, 'ratio': 1.2396945826877797}
{'HIDDEN_DIM': 1536, 'sliced_time': 0.00180671945810318, 'unsliced_time': 0.0020256861329078675, 'ratio': 0.8919049347045875}
{'HIDDEN_DIM': 2048, 'sliced_time': 0.0021344239354133604, 'unsliced_time': 0.0020316704392433164, 'ratio': 1.0505758681060073}
{'HIDDEN_DIM': 2560, 'sliced_time': 0.0021348624110221863, 'unsliced_time': 0.002030417323112488, 'ratio': 1.051440207252365}
{'HIDDEN_DIM': 3072, 'sliced_time': 0.0021296343326568604, 'unsliced_time': 0.0017290503144264222, 'ratio': 1.2316786358893923}
{'HIDDEN_DIM': 4096, 'sliced_time': 0.0018250901699066163, 'unsliced_time': 0.0020412124514579775, 'ratio': 0.8941206333534799}
{'HIDDEN_DIM': 5140, 'sliced_time': 0.0018334212660789488, 'unsliced_time': 0.0017307968735694886, 'ratio': 1.0592931464556057}
{'HIDDEN_DIM': 6144, 'sliced_time': 0.0018601656675338745, 'unsliced_time': 0.0017470550298690796, 'ratio': 1.064743603224262}
{'HIDDEN_DIM': 8192, 'sliced_time': 0.0021492957711219786, 'unsliced_time': 0.002014103031158447, 'ratio': 1.0671230507437215}
{'HIDDEN_DIM': 10240, 'sliced_time': 0.001828371262550354, 'unsliced_time': 0.00274658203125, 'ratio': 0.6656896614583333}
{'HIDDEN_DIM': 12288, 'sliced_time': 0.0018441563725471498, 'unsliced_time': 0.0039539527773857115, 'ratio': 0.46640829478152634}
{'HIDDEN_DIM': 16384, 'sliced_time': 0.0030288733005523682, 'unsliced_time': 0.0065150191426277156, 'ratio': 0.4649062779776771}
