{'HIDDEN_DIM': 512, 'sliced_time': 0.002071719241142273, 'unsliced_time': 0.0017066543042659759, 'ratio': 1.2139067859048993}
{'HIDDEN_DIM': 768, 'sliced_time': 0.0020600691974163054, 'unsliced_time': 0.0017289466381073, 'ratio': 1.1915169340746627}
{'HIDDEN_DIM': 1024, 'sliced_time': 0.0017845211744308472, 'unsliced_time': 0.0017121276915073394, 'ratio': 1.0422827592139308}
{'HIDDEN_DIM': 1536, 'sliced_time': 0.0017645919322967529, 'unsliced_time': 0.0017039322793483734, 'ratio': 1.0355998026937885}
{'HIDDEN_DIM': 2048, 'sliced_time': 0.0017983013927936554, 'unsliced_time': 0.001756646490097046, 'ratio': 1.0237127406859807}
{'HIDDEN_DIM': 2560, 'sliced_time': 0.001798012000322342, 'unsliced_time': 0.001735928785800934, 'ratio': 1.0357636874445653}
{'HIDDEN_DIM': 3072, 'sliced_time': 0.0017816320240497587, 'unsliced_time': 0.00200436977148056, 'ratio': 0.8888739240632867}
{'HIDDEN_DIM': 4096, 'sliced_time': 0.0018140953123569488, 'unsliced_time': 0.001817488205432892, 'ratio': 0.9981331966469983}
{'HIDDEN_DIM': 5140, 'sliced_time': 0.001956021589040756, 'unsliced_time': 0.002502166152000427, 'ratio': 0.7817312960919719}
{'HIDDEN_DIM': 6144, 'sliced_time': 0.0018981294989585877, 'unsliced_time': 0.002370001769065857, 'ratio': 0.8008979249440564}
{'HIDDEN_DIM': 8192, 'sliced_time': 0.002315772813558579, 'unsliced_time': 0.00323669410943985, 'ratio': 0.7154747205812884}
{'HIDDEN_DIM': 10240, 'sliced_time': 0.003048797672986984, 'unsliced_time': 0.004451121908426285, 'ratio': 0.6849503868261609}
{'HIDDEN_DIM': 12288, 'sliced_time': 0.003480370736122131, 'unsliced_time': 0.005751538079977036, 'ratio': 0.605120002289201}
{'HIDDEN_DIM': 16384, 'sliced_time': 0.005155444270372391, 'unsliced_time': 0.008869256335496904, 'ratio': 0.5812713124254916}
