{'HIDDEN_DIM': 512, 'sliced_time': 0.0018026530981063843, 'unsliced_time': 0.001996408748626709, 'ratio': 0.9029479055060214}
{'HIDDEN_DIM': 768, 'sliced_time': 0.001817044711112976, 'unsliced_time': 0.0017006001114845276, 'ratio': 1.0684726520021213}
{'HIDDEN_DIM': 1024, 'sliced_time': 0.0018336645007133484, 'unsliced_time': 0.0017590847373008729, 'ratio': 1.0423969134806492}
{'HIDDEN_DIM': 1536, 'sliced_time': 0.0021104809522628784, 'unsliced_time': 0.002022329020500183, 'ratio': 1.0435893125545381}
{'HIDDEN_DIM': 2048, 'sliced_time': 0.0017987568378448485, 'unsliced_time': 0.0020353442549705504, 'ratio': 0.8837604908614709}
{'HIDDEN_DIM': 2560, 'sliced_time': 0.00211624813079834, 'unsliced_time': 0.0020097530007362366, 'ratio': 1.0529891633564377}
{'HIDDEN_DIM': 3072, 'sliced_time': 0.0018190054178237915, 'unsliced_time': 0.0017339090585708618, 'ratio': 1.0490777522801966}
{'HIDDEN_DIM': 4096, 'sliced_time': 0.0021378040432929995, 'unsliced_time': 0.0017388098001480104, 'ratio': 1.229463994918263}
{'HIDDEN_DIM': 5140, 'sliced_time': 0.0021240180969238284, 'unsliced_time': 0.002016972434520721, 'ratio': 1.0530724468867338}
{'HIDDEN_DIM': 6144, 'sliced_time': 0.0018465796947479247, 'unsliced_time': 0.0020404671907424928, 'ratio': 0.9049788710770617}
{'HIDDEN_DIM': 8192, 'sliced_time': 0.0021613417148590086, 'unsliced_time': 0.002030439078807831, 'ratio': 1.0644701126064007}
{'HIDDEN_DIM': 10240, 'sliced_time': 0.0018202535986900329, 'unsliced_time': 0.002967689788341522, 'ratio': 0.6133570987914043}
{'HIDDEN_DIM': 12288, 'sliced_time': 0.002153685677051544, 'unsliced_time': 0.0037416586756706238, 'ratio': 0.5755965104608414}
{'HIDDEN_DIM': 16384, 'sliced_time': 0.0028026021242141723, 'unsliced_time': 0.006538631200790405, 'ratio': 0.4286221440162258}
